GenreID,GenreName
1,hip_hop
2,rock
3,ccm
4,post_grunge
5,pop
6,house
7,jazz
8,rap
9,reggae
10,salsa
11,chill_out
12,metal
13,dance
14,funk
15,trance
16,gospel
17,track
18,honky_tonk
19,dubstep
20,disco
21,meditation
22,blues
23,trip_hop
24,chinese
25,flamenco
26,stand_up
27,ballad
28,samba
29,wave
30,jungle
